entity,aggregated_entities,raw_entity_types,paragraph,paper,section,uid,definition,semantic_type,taxonomy,paper_frequency,entity_type,entity_type_label
cd44 antigen,"['glp-1', 'glp-1']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:42', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:15', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:16', '184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23'}","{'184360', '214924'}","{'184360:Anti-Dpp4 Vaccine ', '184360:Gliptins ', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '184360:Cardiovascular Effects Of Sdpp4 Upregulation '}",http://purl.obolibrary.org/obo/NCIT_C17772,"CD44 antigen (742 aa, ~82 kDa) is encoded by the human CD44 gene. This protein is involved in cell-cell adhesion and cell-matrix adhesion.",Immunologic Factor,"[('http://purl.obolibrary.org/obo/NCIT_C16393', 'Cell Adhesion Molecule'), ('http://purl.obolibrary.org/obo/NCIT_C17728', 'Ligand Binding Protein'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,PROTEIN,PROTEIN
cellular secretion,"['secretion', 'secretion', 'secretion']","['PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY']","{'214924:Diabetes Mellitus And Covid-19: In The Eye Of The “Cytokine Storm” ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:19', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:18', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50'}","{'184360', '214924'}","{'214924:Diabetes Mellitus And Covid-19', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ', '184360:Gliptins '}",http://purl.obolibrary.org/obo/NCIT_C17119,"Production by a cell or aggregation of cells (a gland) of a physiologically active substance and its movement out of the cell or organ in which it is formed.  Discharge across the cell membrane, into the intracellular space or ducts, of endogenous substances resulting from the activity of intact cells of glands, tissues, or organs.",Cell Function,"[('http://purl.obolibrary.org/obo/NCIT_C19950', 'Transmembrane Transport'), ('http://purl.obolibrary.org/obo/NCIT_C40792', 'Cell Membrane Process'), ('http://purl.obolibrary.org/obo/NCIT_C20480', 'Cellular Process'), ('http://purl.obolibrary.org/obo/NCIT_C17828', 'Biological Process'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C21079', 'Transport Process'), ('http://purl.obolibrary.org/obo/NCIT_C28498', 'Biochemical Process'), ('http://purl.obolibrary.org/obo/NCIT_C17710', 'Subcellular Process')]",2,PATHWAY,PATHWAY
cerebrovascular,"['cerebrovascular', 'cerebrovascular']","['ORGAN', 'ORGAN', 'ORGAN', 'ORGAN']","{'214924:Diabetes Mellitus: A Risk Factor For The Progression Of Covid-19:13', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:8'}","{'184360', '214924'}","{'214924:Diabetes Mellitus', '184360:Pathophysiology Of Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C62581,Relating to the brain and the blood vessels that supply it.,Qualitative Concept,"[('http://purl.obolibrary.org/obo/NCIT_C13442', 'Anatomy Qualifier'), ('http://purl.obolibrary.org/obo/NCIT_C41009', 'Qualifier'), ('http://purl.obolibrary.org/obo/NCIT_C20189', 'Property or Attribute'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,ORGAN,ORGAN
chemokine,"['chemokines', 'chemokines']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'211373:Introduction:4', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:9'}","{'179426', '214924', '211373'}","{'179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '214924:The Immune Response To Sars-Cov-2 ', '211373:Introduction'}",http://purl.obolibrary.org/obo/NCIT_C20466,"Chemokines constitute a superfamily of small (8-10 kDa), inducible, secreted, pro-inflammatory cytokines that are involved in a variety of immune and inflammatory responses as well as in viral infection.  Chemokines act primarily as chemoattractants and activators of specific types of leukocytes.  Some members of this family were initially identified on the basis of their biological activities (e.g., IL-8, GRO), others were discovered using subtractive hybridization (e.g., RANTES) or signal sequence trap (e.g., PBSF/SDF-1)11 cloning strategies.  They attract and activate leukocytes and regulate diverse cellular systems and organs ranging from blood vessels to the central nervous system.",Immunologic Factor,"[('http://purl.obolibrary.org/obo/NCIT_C20464', 'Cytokine'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,PROTEIN,PROTEIN
chest pain,"['chest pain', 'chest pain', 'chest pain']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'214924:Introduction:6', '179426:Measures For Good Health In Patients With Diabetes ::: Treatment Of Diabetes In Times Of Covid-19 Pandemic:24'}","{'179426', '214924'}","{'214924:Introduction', '179426:Measures For Good Health In Patients With Diabetes '}",http://purl.obolibrary.org/obo/NCIT_C38665,Pain in the chest.,Sign or Symptom,"[('http://purl.obolibrary.org/obo/NCIT_C3303', 'Pain'), ('http://purl.obolibrary.org/obo/NCIT_C4876', 'Symptom'), ('http://purl.obolibrary.org/obo/NCIT_C100104', 'Sign or Symptom'), ('http://purl.obolibrary.org/obo/NCIT_C3367', 'Finding'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DISEASE,DISEASE
chloroquine,"['chloroquine', 'chloroquine', 'chloroquine']","['CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG']","{'197804:Discussion:47', '211125:General Characteristics Of Patients With Covid-19:18'}","{'211125', '197804'}","{'197804:Discussion', '211125:General Characteristics Of Patients With Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C61671,"A 4-aminoquinoline with antimalarial, anti-inflammatory, and potential chemosensitization and radiosensitization activities. Although the mechanism is not well understood, chloroquine is shown to inhibit the parasitic enzyme heme polymerase that converts the toxic heme into non-toxic hemazoin, thereby resulting in the accumulation of toxic heme within the parasite. This agent may also interfere with the biosynthesis of nucleic acids. Chloroquine's potential chemosensitizing and radiosensitizing activities in cancer may be related to its inhibition of autophagy, a cellular mechanism involving lysosomal degradation that minimizes the production of reactive oxygen species (ROS) related to tumor reoxygenation and tumor exposure to chemotherapeutic agents and radiation.",Pharmacologic Substance,"[('http://purl.obolibrary.org/obo/NCIT_C271', 'Antimalarial Agent'), ('http://purl.obolibrary.org/obo/NCIT_C277', 'Antiprotozoal Agent'), ('http://purl.obolibrary.org/obo/NCIT_C276', 'Antiparasitic Agent'), ('http://purl.obolibrary.org/obo/NCIT_C254', 'Anti-Infective Agent'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DRUG,DRUG
chronic disease,"['chronic diseases', 'chronic diseases', 'chronic diseases']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'179426:Background:2', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:14'}","{'179426', '214924'}","{'214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '179426:Background'}",http://purl.obolibrary.org/obo/NCIT_C165593,A disease condition that persists over a significant span of time.,Finding,"[('http://purl.obolibrary.org/obo/NCIT_C35461', 'Clinical Course of Disease'), ('http://purl.obolibrary.org/obo/NCIT_C3367', 'Finding'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DISEASE,DISEASE
chronic kidney disease,"['chronic kidney disease', 'chronic kidney disease', 'chronic kidney disease', 'chronic kidney disease', 'chronic kidney disease']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:40', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:45', '197804:Discussion:49'}","{'184360', '197804'}","{'197804:Discussion', '184360:Gliptins '}",http://purl.obolibrary.org/obo/NCIT_C80078,Impairment of the renal function secondary to chronic kidney damage persisting for three or more months.,Disease or Syndrome,"[('http://purl.obolibrary.org/obo/NCIT_C27600', 'Non-Neoplastic Kidney Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C3149', 'Kidney Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C3430', 'Urinary System Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C156660', 'Genitourinary System Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C27551', 'Disorder by Site'), ('http://purl.obolibrary.org/obo/NCIT_C2991', 'Disease or Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C27599', 'Non-Neoplastic Urinary System Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C156664', 'Non-Neoplastic Genitourinary System Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C53531', 'Non-Neoplastic Disorder by Site'), ('http://purl.obolibrary.org/obo/NCIT_C53529', 'Non-Neoplastic Disorder')]",2,DISEASE,DISEASE
comorbidity,"['comorbidity', 'comorbidity']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'179426:Abstract:1', '160564:Introduction:4', '214924:Introduction:4'}","{'179426', '160564', '214924'}","{'160564:Introduction', '179426:Abstract', '214924:Introduction'}",http://purl.obolibrary.org/obo/NCIT_C16457,The coexistence of two or more disease processes.,Idea or Concept,"[('http://purl.obolibrary.org/obo/NCIT_C17258', 'Vital Statistics'), ('http://purl.obolibrary.org/obo/NCIT_C16495', 'Demographics'), ('http://purl.obolibrary.org/obo/NCIT_C171088', 'Population Group Characteristic'), ('http://purl.obolibrary.org/obo/NCIT_C25447', 'Characteristic'), ('http://purl.obolibrary.org/obo/NCIT_C20189', 'Property or Attribute'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,Condition,Condition
confounding factors,['confounding factors'],"['PROTEIN', 'PROTEIN']","{'214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:16', '179426:Role Of Antidiabetic Drugs In Current Context ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:12'}","{'179426', '214924'}","{'214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '179426:Role Of Antidiabetic Drugs In Current Context '}",,,,,2,PROTEIN,PROTEIN
coronaviridae,"['coronavirus disease', 'coronavirus disease', 'coronavirus disease', 'coronavirus disease', 'coronavirus disease', 'coronavirus family', 'coronavirus family', 'coronavirus family', 'coronaviruses', 'coronaviruses', 'coronaviruses', 'coronaviruses']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM']","{'151932:Abstract:1', '197804:Introduction:2', '211125:Introduction:2', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:8', '214924:Introduction:2', '211373:Abstract:1', '78018:Abstract:1', '211373:Introduction:7', '184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16'}","{'184360', '211373', '151932', '197804', '78018', '214924', '211125'}","{'211373:Introduction', '78018:Abstract', '214924:Introduction', '197804:Introduction', '151932:Abstract', '214924:The Immune Response To Sars-Cov-2 ', '184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells', '211373:Abstract', '211125:Introduction'}",http://purl.obolibrary.org/obo/NCIT_C113205,"A family of positive sense ssRNA viruses of zoonotic origin. They are the cause of respiratory, enteric, hepatic, and neurological diseases of varying severity in humans and animals. Bats, birds, and pigs act as major reservoirs of coronaviruses.",Virus,"[('http://purl.obolibrary.org/obo/NCIT_C14351', 'Positive Sense ssRNA Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14269', 'RNA Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14283', 'Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14250', 'Organism'), ('http://www.w3.org/2002/07/owl#Thing', '')]",7,ORGANISM,ORGANISM
coronavirus,"['coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus', 'coronavirus']","['ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'DISEASE', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM', 'ORGANISM']","{'160564:Introduction:2', '184360:Abstract:1', '160564:Abstract:1', '179426:Role Of Ace/Arbs ::: Special Aspects Of Management Of Diabetes With Covid-19:20', '104188:Abstract:1', '114119:Abstract:1', '214924:Introduction:3', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:47', '78018:Abstract:1', '139943:Abstract:1', '211125:Abstract:1', '179426:Background:2', '151932:Abstract:1', '211125:Introduction:2', '211373:Introduction:3', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:8', '214924:Introduction:2', '211373:Introduction:6', '211373:Abstract:1', '211373:Introduction:2', '197804:Introduction:2', '35198:Abstract:1', '160564:Data Sources And Search Strategy ::: Material And Methods:6', '99569:Abstract:1', '179426:Association Of Diabetes With Acute Viral Pandemics In The Past:5', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:25', '184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16', '214728:Cap Community-Acquired Pneumonia Covid-19 Coronavirus Disease-2019:1', '78884:Abstract:1', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13', '211373:Introduction:7'}","{'78884', '211125', '184360', '99569', '211373', '214728', '160564', '151932', '197804', '114119', '78018', '214924', '139943', '179426', '35198', '104188'}","{'160564:Introduction', '78884:Abstract', '211373:Introduction', '99569:Abstract', '179426:Role Of Ace/Arbs ', '35198:Abstract', '160564:Data Sources And Search Strategy ', '214924:Introduction', '214728:Cap Community-Acquired Pneumonia Covid-19 Coronavirus Disease-2019', '114119:Abstract', '184360:Abstract', '211125:Introduction', '179426:Association Of Diabetes With Acute Viral Pandemics In The Past', '78018:Abstract', '197804:Introduction', '211125:Abstract', '214924:The Immune Response To Sars-Cov-2 ', '184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells', '104188:Abstract', '184360:Gliptins ', '151932:Abstract', '179426:Background', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '211373:Abstract', '160564:Abstract', '139943:Abstract', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus '}",http://purl.obolibrary.org/obo/NCIT_C26431,"A genus of single-stranded, positive-sense RNA viruses in the family coronaviridae. The coronavirus genome exhibits helical symmetry.",Virus,"[('http://purl.obolibrary.org/obo/NCIT_C113205', 'Coronaviridae'), ('http://purl.obolibrary.org/obo/NCIT_C14351', 'Positive Sense ssRNA Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14269', 'RNA Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14283', 'Virus'), ('http://purl.obolibrary.org/obo/NCIT_C14250', 'Organism'), ('http://www.w3.org/2002/07/owl#Thing', '')]",16,ORGANISM,ORGANISM
